area,ne
0.0001609979014042832,211
-3.0521930286149114e-05,200
0.00025517433328818654,101
4.687466786756939e-06,127
-0.0003884704530128502,116
-0.00013354559032265458,78
-0.00040106777033089186,124
-0.00023074849417935864,29
0.0001499433848587548,101
8.810554910210414e-05,27
-0.0003429670508016641,60
-0.00046338836895226925,130
0.0003363329177556227,71
2.2846222535447217e-05,138
-0.00035097636173316883,74
-0.0003681406056026754,246
-0.000254022193846579,65
0.00026390736338754414,80
0.0004557622581712805,97
-0.00028676090825282283,74
7.945913043355347e-05,238
0.0,1
5.108623340247396e-07,5
0.0,0
0.00010772713849994686,24
-2.0345186441449664e-08,3
0.0001932194200360864,86
0.0003324871338706029,185
-2.2422508817402396e-05,86
3.9207286736701646e-06,107
-0.00032772373701592635,70
1.4508694472171268e-05,120
-0.000388381504094227,93
0.0001931639687003962,153
-0.00024629648116567947,162
7.267842142905494e-05,135
-2.6993343602308533e-05,42
6.905996397670661e-05,136
-0.00037868743162975386,168
-7.897773248983701e-05,90
0.0001290486512969843,70
-1.2001938765678963e-05,88
-0.00018868836748837928,122
0.00011610268214055215,151
-0.00030101510093335387,101
9.115396533978983e-05,102
